target,seed,fold,test_r2
Other_0pct,3,1,0.998801363060672
Other_0pct,3,2,0.9981512401405466
Other_0pct,3,3,0.9986543512890261
Other_0pct,3,4,0.9977320884980154
Other_20pct,3,0,0.9965657233005877
Other_20pct,3,1,0.9967572005028601
Other_20pct,3,2,0.9966092352272181
Other_20pct,3,3,0.9950716762009668
Other_20pct,3,4,0.9962167075538427
Youngs_modulus,4,0,0.9868872099325897
Youngs_modulus,4,1,0.9847041702222827
Youngs_modulus,4,2,0.9830809075278304
Youngs_modulus,4,3,0.9845726886197579
Youngs_modulus,4,4,0.9750598669648222
UTS,4,0,0.9925135301794935
UTS,4,1,0.9932578003730047
UTS,4,2,0.9924560846872966
UTS,4,3,0.9947628374957883
UTS,4,4,0.990694133823861
Disloc_0pct,4,0,0.9802452858469419
Disloc_0pct,4,1,0.9777818746700424
Disloc_0pct,4,2,0.9764684627414943
Disloc_0pct,4,3,0.9819714194553522
Disloc_0pct,4,4,0.9735443321664653
Disloc_20pct,4,0,0.8790720299172206
Disloc_20pct,4,1,0.8653581904303782
Disloc_20pct,4,2,0.9046465200999555
Disloc_20pct,4,3,0.9096642594265686
Disloc_20pct,4,4,0.9113620597743346
FCC_0pct,4,0,0.9982263393090349
FCC_0pct,4,1,0.9988847969677477
FCC_0pct,4,2,0.9986172485161521
FCC_0pct,4,3,0.99751206692645
FCC_0pct,4,4,0.9979631902776482
HCP_0pct,4,0,0.7093045846587078
HCP_0pct,4,1,0.6697216648244407
HCP_0pct,4,2,0.7791781884352447
HCP_0pct,4,3,0.7234836491442386
HCP_0pct,4,4,0.6316619201721032
BCC_0pct,4,0,0.49273711596850966
BCC_0pct,4,1,0.5014172552729778
BCC_0pct,4,2,0.4235419808479649
BCC_0pct,4,3,0.33053694911373566
BCC_0pct,4,4,0.47585338642736885
FCC_20pct,4,0,0.945485412997569
FCC_20pct,4,1,0.9458356553090665
FCC_20pct,4,2,0.9508253182340615
FCC_20pct,4,3,0.9392007372166903
FCC_20pct,4,4,0.9393300604508352
HCP_20pct,4,0,0.7655286110344186
HCP_20pct,4,1,0.7918090175009525
HCP_20pct,4,2,0.6482032941991477
HCP_20pct,4,3,0.7268361712502067
HCP_20pct,4,4,0.7281761105654743
BCC_20pct,4,0,0.8705581472298318
BCC_20pct,4,1,0.776977697764128
BCC_20pct,4,2,0.8681669539339663
BCC_20pct,4,3,0.8940705873441778
BCC_20pct,4,4,0.8543682962733521
Other_0pct,4,0,0.9986575133924054
Other_0pct,4,1,0.99730224423598
Other_0pct,4,2,0.9978820387086451
Other_0pct,4,3,0.9975855158865184
Other_0pct,4,4,0.9977119145831139
Other_20pct,4,0,0.9970913044082597
Other_20pct,4,1,0.9976211969856161
Other_20pct,4,2,0.9967577853600398
Other_20pct,4,3,0.9977705169020372
Other_20pct,4,4,0.9972447140189034
