model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
AttentionMLP,BCC_0pct,-0.46954588147732873,1.1182769640845223,0.390899588268815,0.3989492826909504,-3.758093197303568,-0.008510055016287321,0.28609067219315376,-1.764369146925949,-0.06780115380158325,0.29441917579226395,-0.4174032714528191,-0.06373937169011601,-0.04129564247793316,-0.25369951978034333,-0.7535015150519868,-0.6723745986344556,-0.2874212055922849,-4.124651695472992,0.07230382720212503,-0.21811671405534416,0.10937708247397682,-0.31433140465565645,0.31669546855989983,-0.6137055560704181,-0.0046772615511396776,-0.23185597888086185,-0.011834845700662955
DeepMLP,FCC_20pct,0.34904302781756547,0.6823841442011522,0.41732918264710883,0.5247166155892777,0.7978533643726398,0.7411165161219415,0.3247365386807195,0.6620414367751606,0.05005850556413194,0.7426804258026484,-1.3948146542092288,0.55000806263981,-0.4416927955041785,0.5447032947695123,0.7529003873773592,0.7704571837590041,0.6702441096534055,0.7187998104023517,0.6474252604152197,0.8323123027042845,0.041722226965032916,0.7517226875203245,0.6246737056965678,-2.0719004786019046,0.5075327986456464,0.5362000258031826,0.4252491818491191
TabularTransformer,FCC_20pct,-2.4419732917852506,0.20362168170315692,-2.1430286168440507,-2.4466391164046035,-2.3736040293079177,-2.3316828951200277,-2.097188855367988,-2.278856804999454,-2.57713813705595,-2.619543823476465,-2.215222174488427,-2.7195930585317694,-2.439001405237502,-2.6534215705395803,-2.4834715881141958,-2.31987917588244,-2.539144063866721,-2.1910517693294187,-2.841653075019196,-2.68105578829191,-2.4247746331740814,-2.726086652517576,-2.183800831855702,-2.226863595722206,-2.4601357392949152,-2.6850102874840647,-2.391484606705101
AttentionMLP,FCC_20pct,-0.3775952938216029,1.3335424480328608,-0.574058155023109,-0.5193813702737462,0.792695713074299,-2.538834689000098,0.9237251748901361,-0.03212555678980622,0.713007498723599,0.20734298358406278,-2.2740415650017316,-1.0810973316783588,-0.16711589962094298,0.8621210537705044,-3.5562674682673636,-1.0604948644006926,0.9133276698761228,0.752282550963285,-1.258997879166114,-0.1431929691664009,0.7862104447974051,0.6091354706187728,0.9030816038323266,-2.9445941686416286,0.36360543054088323,0.824769374580606,-1.9409853977620828
DeepMLP,HCP_20pct,0.7507079427985542,0.05284106871455212,0.6911259533072516,0.7899371204067502,0.7180166044858899,0.6284450694999066,0.6874036658365634,0.6683351244697442,0.7997171164349028,0.7594426280460481,0.7432595465165188,0.7890773433581447,0.7279947363804066,0.7888256853071026,0.7959092724647754,0.7509808544100487,0.743538187212581,0.7935806587016715,0.8032511095277463,0.8007214434365286,0.7439591752783993,0.7827691502443945,0.7797921616555658,0.8029096624655521,0.7525042536896487,0.6257507809825212,0.8004512658451931
TabularTransformer,HCP_20pct,0.6341840394434317,0.17368347401310574,0.774278156957958,0.4862022263058118,0.49787908666988434,0.6848182720512912,0.8043647487064365,0.7742146178166277,0.4614712684447,0.8246934302442148,0.7690011701704068,0.49382711698658033,0.7652411517202821,0.41250295546054494,0.8287848561940931,0.45490562601097173,0.6735468713660641,0.311362084398802,0.7999284834913333,0.2333127324522033,0.7887891877179052,0.5562508656052251,0.7465475859517208,0.8050650892517501,0.5031192003217382,0.630118604055097,0.7743755977341498
AttentionMLP,HCP_20pct,0.01325501141531666,0.33651363799109246,0.0064945900571161674,-0.12720904601979366,-0.005732328310609214,0.15003548527326938,0.29375520768466457,-0.002528305950114662,-0.20021264366878366,0.7810957158464742,-0.15938970319504686,0.19788557888910097,-0.07389236894549045,-0.17993007453519505,-0.06431382399918983,0.0272553167093732,0.1257403888364962,0.1219617090754378,0.8395380912318815,-0.3146069332685606,-0.43878425485707573,0.05399638586454647,-0.2108783642829124,0.15406947122328563,-0.6889545741664256,-0.41234418133104334,0.4583239472215115
DeepMLP,BCC_20pct,0.6361827249893119,0.15611979039341875,0.5804830374472829,0.7685799146594658,0.523037829330367,0.7001480328042847,0.739384405395196,0.5382283336209639,0.7436170970677933,0.2970648230615639,0.297471987060717,0.7873123641625603,0.593943405376997,0.8741631167127992,0.616444788200222,0.7497010887819818,0.7796074930954665,0.519385875450026,0.7098338618890413,0.5018419902705638,0.31471547239352804,0.6910169206585162,0.6703796844579797,0.8035571230977077,0.6276225629298617,0.7108630933867309,0.7661638234211802
TabularTransformer,BCC_20pct,-4.533144333479204,7.665977980788514,-1.370393560623544,-1.440082062521109,-23.693583268679728,-0.41228622139075344,-1.9370090964640916,-2.0244630833212467,-0.23219100515391,-0.16026873232526584,0.5319271190500134,-2.1906146820462657,-1.3680748698985963,-2.7506976253704716,-1.3130732460423862,-21.90344047882403,0.03459099587524417,-27.99254605271372,-1.0835315997385315,-2.0342049765039634,-2.7105250225891226,-9.98847719290057,-2.0625535203791423,-1.6024432795788992,-1.9395905525900101,-1.6342720032462053,-2.050804319003806
AttentionMLP,BCC_20pct,-0.681241350253874,1.052572794580033,0.023114346284568876,0.16978491762401215,-1.1490325352635264,-2.501218232563195,0.24852591872266305,-1.9777352637516628,-2.0648001601469126,0.6503887019668988,0.0890539218358285,0.2628382167033072,0.02771055767347752,-2.0288380409657,-1.3709229766868103,-0.12972668933107845,0.11325361376748377,-2.473994070181382,-0.044533312117490675,0.6574140973074073,0.13110757001174433,-0.4458633987314755,-1.9114697549395645,-1.294334663994296,-2.194278683229053,0.08003481743443153,0.10248734622347355
DeepMLP,Other_0pct,0.6510422769902772,0.20995200286059232,0.8549835045108012,0.5070092584516721,0.6807858407117612,0.6020388763850018,0.3494837540797143,0.6604816715636582,0.6381927008668535,0.7489814548062952,0.8334467754423268,0.78865063145543,0.5389102262094769,0.6929578255267513,0.7016502323634873,0.2044080630892975,0.763865210963911,0.5069591331545007,0.8238170122048085,0.89804271413609,0.9545834018223289,0.6608407981626305,0.758018854144833,0.9752917785507259,0.12392248572320352,0.5848684878761088,0.423866232555259
TabularTransformer,Other_0pct,0.9091473637374214,0.3668894681693931,0.9887870176541381,0.9848149669567392,-0.8874452042236476,0.9803228069434654,0.9872701986366905,0.9506881597074652,0.9816384993178726,0.9877568841790071,0.9918065842887358,0.9867358830290074,0.9877177158222552,0.9912807681604174,0.9895602915876904,0.988028410328819,0.9875922884354641,0.9860946674660698,0.9911399270775083,0.9646704207707262,0.9533195472707293,0.9868114834176324,0.9911260668651808,0.9916007812170369,0.9901153921913386,0.9852033584413535,0.9920471778938419
AttentionMLP,Other_0pct,0.7013205306618723,0.5768903316233597,0.7545857690890927,0.7963620053758501,0.9862165337010709,0.8553214152331783,0.764301519990636,0.8864801102652347,-2.0937049104028014,0.8668305230709015,0.8422768064009807,0.9837674134499255,0.8666180992248016,0.6613508740502976,0.6976143111225139,0.9591104176863725,0.8537396481414479,0.79769320956093,0.7330874561489253,0.6913731267091061,0.8486232804185766,0.8758488699012619,0.8289888235812553,0.7856163722247224,0.841135714998371,0.7423949162744223,0.7073809603297322
DeepMLP,Other_20pct,0.9186342503133791,0.03975146987085975,0.9182665005281976,0.8683435791059982,0.9709732101038209,0.9510222358202389,0.9481378765779266,0.960758120969752,0.8642487425372473,0.920732965953712,0.9408368385354144,0.9410912786679281,0.9154875166830974,0.8591919982070297,0.9398240438747035,0.9033729169377256,0.8541658139631905,0.8540105817066583,0.9572456284117432,0.9769772460338935,0.9484048212831916,0.8844032807566661,0.8882656996314128,0.9279366985332762,0.951413545713094,0.9596287201852165,0.861116397113343
TabularTransformer,Other_20pct,0.8992384040049355,0.39648772085711176,0.9821203030830619,0.9882545423564706,0.9332180554840894,0.9914510403089252,0.9770855747524143,0.9904050097264393,0.9871651949910156,-1.0414833349845756,0.9920152602944156,0.9816897014782814,0.978081381244613,0.9810547853102427,0.9869064707699349,0.9930821872943464,0.9865845061767862,0.9888243217859147,0.9887346833630528,0.9879117330257062,0.9939012874716675,0.9523281017033565,0.934140219807007,0.9842330317432124,0.9885093590995633,0.9909973006588919,0.9637493831785554
AttentionMLP,Other_20pct,0.8748592018272727,0.04099365717724666,0.883794581415087,0.8987140068230468,0.8106471940458496,0.9193927516633531,0.876692323634312,0.8985895429631613,0.8917577793732294,0.7859945828359233,0.9095323153165199,0.8894113591221889,0.8462427483958888,0.9386131171944675,0.8718171986439114,0.8525261360136213,0.8766674782348876,0.9125576978135881,0.7915697621883988,0.8938402977032331,0.8946312328946002,0.8902196741056088,0.8867826614911101,0.7787370676260166,0.9013383478242556,0.8814944081184103,0.8899157802411464
