target,seed,fold,test_r2
BCC_0pct,3,2,0.3570305147637086
BCC_0pct,3,3,0.4388411019073025
BCC_0pct,3,4,0.44150722617270655
FCC_20pct,3,0,0.9638258841426144
FCC_20pct,3,1,0.9654615587104478
FCC_20pct,3,2,0.9716911392807983
FCC_20pct,3,3,0.9669685174167826
FCC_20pct,3,4,0.9682479180777669
HCP_20pct,3,0,0.8325733152260373
HCP_20pct,3,1,0.8594693339013223
HCP_20pct,3,2,0.8629216680533978
HCP_20pct,3,3,0.8368613890912211
HCP_20pct,3,4,0.8610013323126853
BCC_20pct,3,0,0.9408880594499509
BCC_20pct,3,1,0.9339063426382422
BCC_20pct,3,2,0.9131211716644222
BCC_20pct,3,3,0.9403579618524699
BCC_20pct,3,4,0.9136250565424974
Other_0pct,3,0,0.9995885707146048
Other_0pct,3,1,0.9991597306619682
Other_0pct,3,2,0.9996743177168115
Other_0pct,3,3,0.9997406486064938
Other_0pct,3,4,0.9946412454311694
Other_20pct,3,0,0.9983122528536249
Other_20pct,3,1,0.9651585285637622
Other_20pct,3,2,0.9978842395326017
Other_20pct,3,3,0.9684350119599983
Other_20pct,3,4,0.9985595103082315
Youngs_modulus,4,0,0.9969333529577418
Youngs_modulus,4,1,0.994260206314946
Youngs_modulus,4,2,0.9974570947605909
Youngs_modulus,4,3,0.9977917232938364
Youngs_modulus,4,4,0.9976008759263557
UTS,4,0,0.995866468014108
UTS,4,1,0.9935812946655116
UTS,4,2,0.9956284814382467
UTS,4,3,0.9961463167570247
UTS,4,4,0.996823349692724
Disloc_0pct,4,0,0.983700690180159
Disloc_0pct,4,1,0.9843671237101053
Disloc_0pct,4,2,0.9823287052279367
Disloc_0pct,4,3,0.9851406548222308
Disloc_0pct,4,4,0.9819365983822783
Disloc_20pct,4,0,0.9163791787713164
Disloc_20pct,4,1,0.9219871081532263
Disloc_20pct,4,2,0.9273270467931823
Disloc_20pct,4,3,0.9503488952636183
Disloc_20pct,4,4,0.9226121720201876
FCC_0pct,4,0,0.999697318106712
FCC_0pct,4,1,0.9996749102717652
FCC_0pct,4,2,0.9997121924918232
FCC_0pct,4,3,0.9997437746054396
FCC_0pct,4,4,0.9997170459719924
HCP_0pct,4,0,0.7971201924926594
HCP_0pct,4,1,0.8000801409279237
HCP_0pct,4,2,0.8096797836409972
HCP_0pct,4,3,0.7897851686258454
HCP_0pct,4,4,0.7776149514590835
BCC_0pct,4,0,0.7095445210875124
BCC_0pct,4,1,0.7107524563465204
BCC_0pct,4,2,0.3570305296343721
BCC_0pct,4,3,0.43884108988107673
BCC_0pct,4,4,0.44150726213866665
FCC_20pct,4,0,0.9638258929842183
FCC_20pct,4,1,0.9654616901725172
FCC_20pct,4,2,0.9716911859696025
FCC_20pct,4,3,0.9669685429252294
FCC_20pct,4,4,0.9682479698931719
HCP_20pct,4,0,0.8325733079747298
HCP_20pct,4,1,0.8594693456538043
HCP_20pct,4,2,0.862921707810667
HCP_20pct,4,3,0.8368613908859001
HCP_20pct,4,4,0.8610013112170207
BCC_20pct,4,0,0.9408880592600731
BCC_20pct,4,1,0.9339063004874024
BCC_20pct,4,2,0.9131211234005262
BCC_20pct,4,3,0.9403579618524699
BCC_20pct,4,4,0.9136250445583214
Other_0pct,4,0,0.9995885703216443
Other_0pct,4,1,0.9996341737449483
Other_0pct,4,2,0.9996743170736592
Other_0pct,4,3,0.9997406485799789
Other_0pct,4,4,0.999630465976768
Other_20pct,4,0,0.9983122530713674
Other_20pct,4,1,0.9984634107112372
Other_20pct,4,2,0.9985710136546256
Other_20pct,4,3,0.9984825345044585
Other_20pct,4,4,0.9985595104391749
