model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
MLP,Disloc_0pct,0.9787185832860618,0.0023456853449392943,0.9792333681780049,0.9780116181724916,0.978318867129041,0.9810665637768949,0.9792057980534631,0.9815601509407034,0.9784167172476113,0.9774247463882026,0.9815747396540263,0.9770243065306433,0.9792935805636103,0.9784217357279208,0.976014294111592,0.9816936899585605,0.9763024243814915,0.9798321791846755,0.9777893866975991,0.979156683527334,0.9846493412214449,0.9750788992269815,0.9771865463107737,0.9792413432133412,0.9748424308290632,0.9813867448821831,0.9752384262438913
RandomForest,Disloc_20pct,0.9211986957500744,0.01243758287300845,0.9155534466588626,0.9168464081247635,0.9106879795531209,0.9447261634689536,0.9205187005591321,0.9167769936549075,0.9160110207384423,0.9086571488290281,0.9455185577206201,0.9166201087716188,0.9152391811547499,0.9162432569863149,0.9068151228527844,0.9448117991038611,0.9198263820922998,0.9167780446125132,0.9166709958088428,0.908584214602298,0.9414656560749625,0.9213434428424288,0.9180371466311292,0.9159491537468192,0.9078900899857473,0.9473676277562846,0.9210287514213757
GradientBoosting,Disloc_20pct,0.9258936016523431,0.010995612332371849,0.9196842313594912,0.9230463445463143,0.9183879341826646,0.9477228067775533,0.9211903407927083,0.9191154976519722,0.9229316690929119,0.9187285625563116,0.9461317275357471,0.9226350349904189,0.9186758995695538,0.9229983000883906,0.9194936795834582,0.9479894861781303,0.9209061988307566,0.9190699454839505,0.9215452433441695,0.9160224135727548,0.9483584688527174,0.9217143316079113,0.91777339676017,0.9220439530593385,0.9198895868686275,0.9476472109628286,0.923637777059729
XGBoost,Disloc_20pct,0.9258629870185391,0.010446731144370808,0.9203945390214258,0.9234079606722436,0.9162036935375588,0.9462401601003093,0.9231597386242374,0.9204457675900494,0.923343172041939,0.9172251918671802,0.9463191686451301,0.9223130308078473,0.9212434754588361,0.9227010690182357,0.9158164381859024,0.9468469041922277,0.9231352789818107,0.9206677021982161,0.9225869218363765,0.916666833405782,0.9460002599396955,0.9226488267181813,0.9202907018575547,0.9233313269354381,0.9166591463251893,0.9455753121772623,0.9233520553248498
SVR,Disloc_20pct,0.8839447852164526,0.021083191349225778,0.8472843348690374,0.8997770152917038,0.8780224117857244,0.9081594782625158,0.8864806858732814,0.8472843348690374,0.8997770152917038,0.8780224117857244,0.9081594782625158,0.8864806858732814,0.8472843348690374,0.8997770152917038,0.8780224117857244,0.9081594782625158,0.8864806858732814,0.8472843348690374,0.8997770152917038,0.8780224117857244,0.9081594782625158,0.8864806858732814,0.8472843348690374,0.8997770152917038,0.8780224117857244,0.9081594782625158,0.8864806858732814
Ridge,Disloc_20pct,0.9004684596260997,0.0127340601419429,0.8841685301748665,0.9007417551622463,0.8903582683418422,0.9206515143240444,0.9064222301274992,0.8841685301748665,0.9007417551622463,0.8903582683418422,0.9206515143240444,0.9064222301274992,0.8841685301748665,0.9007417551622463,0.8903582683418422,0.9206515143240444,0.9064222301274992,0.8841685301748665,0.9007417551622463,0.8903582683418422,0.9206515143240444,0.9064222301274992,0.8841685301748665,0.9007417551622463,0.8903582683418422,0.9206515143240444,0.9064222301274992
Lasso,Disloc_20pct,0.9008570544524269,0.012757207766604373,0.8847513901842277,0.9003138238984708,0.8905119011548961,0.9207838030535495,0.9079243539709914,0.8847513901842277,0.9003138238984708,0.8905119011548961,0.9207838030535495,0.9079243539709914,0.8847513901842277,0.9003138238984708,0.8905119011548961,0.9207838030535495,0.9079243539709914,0.8847513901842277,0.9003138238984708,0.8905119011548961,0.9207838030535495,0.9079243539709914,0.8847513901842277,0.9003138238984708,0.8905119011548961,0.9207838030535495,0.9079243539709914
MLP,Disloc_20pct,0.914743397204769,0.01116717078945107,0.9034486950812788,0.911207999783691,0.9204523893547575,0.9330815661645538,0.9173875853479249,0.9055049347295834,0.902744536758075,0.9127717741039515,0.9321657779734327,0.911560948389269,0.9103833688483575,0.9036316526664036,0.9146232804966168,0.9307810525376251,0.9061802963782091,0.901053505659902,0.8945663787958325,0.9180283588427121,0.9353538578815818,0.9189905714179903,0.9117530065937879,0.9161616229875449,0.9098643986020977,0.9366251417627749,0.9102622289612721
RandomForest,FCC_0pct,0.9988770713119984,0.0002507747807852022,0.9991895226637848,0.9989408063088732,0.9989293320876306,0.998441111074963,0.9988984292940943,0.9991766629432102,0.9989651197318999,0.9989344152095192,0.9984585235580605,0.9989008120959172,0.9991839925388927,0.9989567102122675,0.9989619302130277,0.9984286565865612,0.9989250582327843,0.9991990910822269,0.9989717030133113,0.9988614339048862,0.9983511509044455,0.9988664465837976,0.9991927588610827,0.9989759339253097,0.9988744553400526,0.9984412260798353,0.9989015003535272
GradientBoosting,FCC_0pct,0.9995296974175798,5.904492653634796e-05,0.9995749537709674,0.9993967694773902,0.9996015407268246,0.9995058692030947,0.9995745990008358,0.9995723628101663,0.9994685175587995,0.9996001420168925,0.9995000889761732,0.9995631290164977,0.9995480823668286,0.9994174125687637,0.9995871587523601,0.9994788538450885,0.9995906682967131,0.99952865577536,0.9994452674863318,0.9995925054765212,0.9994804752227331,0.9995694512102363,0.9995226011365943,0.9994644144055485,0.9995702766207698,0.9995045716452339,0.9995840680727697
