target,template,seed,fold,test_r2
HCP_0pct,entropy_weighted,0,2,0.14855296909358395
HCP_0pct,entropy_weighted,0,3,0.023753833768757726
HCP_0pct,entropy_weighted,0,4,-0.21804996461853454
HCP_0pct,calphad,0,0,-0.1126777240268868
HCP_0pct,calphad,0,1,-1.0240100833306451
HCP_0pct,calphad,0,2,-4.190249775956739
HCP_0pct,calphad,0,3,0.14374761594811114
HCP_0pct,calphad,0,4,-0.1950636700026227
BCC_0pct,additive,0,0,0.12052230698700472
BCC_0pct,additive,0,1,-0.07661796822439393
BCC_0pct,additive,0,2,0.04404539709306221
BCC_0pct,additive,0,3,-0.040614638551690785
BCC_0pct,additive,0,4,-0.16146346772650166
BCC_0pct,multiplicative,0,0,-0.09466943281040563
BCC_0pct,multiplicative,0,1,-0.1547499175341911
BCC_0pct,multiplicative,0,2,0.09012103978179054
BCC_0pct,multiplicative,0,3,0.005014643725000711
BCC_0pct,multiplicative,0,4,-0.1394063505688823
BCC_0pct,thermal_softening,0,0,-0.34915011864249035
BCC_0pct,thermal_softening,0,1,-0.14723662716929486
BCC_0pct,thermal_softening,0,2,0.06668579955003129
BCC_0pct,thermal_softening,0,3,0.016084936385217796
BCC_0pct,thermal_softening,0,4,-0.48825512809506644
BCC_0pct,arrhenius,0,0,-0.050590996213990325
BCC_0pct,arrhenius,0,1,-0.0855104460498759
BCC_0pct,arrhenius,0,2,-0.0019581823431691348
BCC_0pct,arrhenius,0,3,-0.08517206166204505
BCC_0pct,arrhenius,0,4,-0.1620769389105865
BCC_0pct,power_law,0,0,0.021014120006874526
BCC_0pct,power_law,0,1,-0.13478950688334734
BCC_0pct,power_law,0,2,0.05192719864269679
BCC_0pct,power_law,0,3,0.014985138986773117
BCC_0pct,power_law,0,4,-0.16002726261623734
BCC_0pct,free_2stage,0,0,0.11485499560507384
BCC_0pct,free_2stage,0,1,-0.07605118868771288
BCC_0pct,free_2stage,0,2,0.0407545003069294
BCC_0pct,free_2stage,0,3,-0.02608658695949373
BCC_0pct,free_2stage,0,4,-0.12790083879509329
BCC_0pct,free_1stage,0,0,0.05406485659285709
BCC_0pct,free_1stage,0,1,-0.05690595446399027
BCC_0pct,free_1stage,0,2,-0.03353116537666967
BCC_0pct,free_1stage,0,3,-0.10716824224645172
BCC_0pct,free_1stage,0,4,-0.0558886588184877
BCC_0pct,entropy_weighted,0,0,-15.76108914391611
BCC_0pct,entropy_weighted,0,1,-0.13310482545746316
BCC_0pct,entropy_weighted,0,2,-0.05793646653032214
BCC_0pct,entropy_weighted,0,3,0.034537339715984716
BCC_0pct,entropy_weighted,0,4,-0.05902311290525075
BCC_0pct,calphad,0,0,-0.2523352093367792
BCC_0pct,calphad,0,1,-1.293555877684189
BCC_0pct,calphad,0,2,-0.46432592705973663
BCC_0pct,calphad,0,3,-1.2738362118514575
BCC_0pct,calphad,0,4,-3.296486008407932
FCC_20pct,additive,0,0,-0.020698046292472627
FCC_20pct,additive,0,1,-0.19345848895487272
FCC_20pct,additive,0,2,-14.362061601017402
FCC_20pct,additive,0,3,-0.09651338236264073
FCC_20pct,additive,0,4,-0.07825863160713276
FCC_20pct,multiplicative,0,0,-0.08274225975629768
FCC_20pct,multiplicative,0,1,-0.1599336915306695
FCC_20pct,multiplicative,0,2,-0.027626010747697993
FCC_20pct,multiplicative,0,3,0.07582372605106114
FCC_20pct,multiplicative,0,4,-1.0
FCC_20pct,thermal_softening,0,0,0.020691096616210047
FCC_20pct,thermal_softening,0,1,-0.20545052749820547
FCC_20pct,thermal_softening,0,2,-0.22530545317353168
FCC_20pct,thermal_softening,0,3,-0.08056915616560234
FCC_20pct,thermal_softening,0,4,-0.04889487979240603
FCC_20pct,arrhenius,0,0,-0.021634851248823805
FCC_20pct,arrhenius,0,1,-0.027052045706599914
FCC_20pct,arrhenius,0,2,-0.06968572721847144
FCC_20pct,arrhenius,0,3,-0.10417157889762274
FCC_20pct,arrhenius,0,4,-0.10017677306026629
FCC_20pct,power_law,0,0,0.014310015918289398
FCC_20pct,power_law,0,1,-0.1384985452235019
FCC_20pct,power_law,0,2,0.029808892618034877
FCC_20pct,power_law,0,3,0.1387156700485065
FCC_20pct,power_law,0,4,-0.14269255005421422
